Comment,Designator,Footprint,LCSC
Crystal_GND24_Small,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering,C13738
10uF,C2,C_0805_2012Metric,C15850
Conn_01x04,J1,JST-SR-4,C160404
10k,"R1,R5",R_0805_2012Metric,C17414
220,R2,R_0805_2012Metric,C17557
22,"R3,R4",R_0805_2012Metric,C17561
22pF,"C6,C7",C_0805_2012Metric,C1804
.1uF,"C3,C4,C5,C8",C_0805_2012Metric,C28233
1uF,C1,C_0805_2012Metric,C28323
ATmega32U4-AU,U1,QFN-44-1EP_7x7mm_P0.5mm_EP5.2x5.2mm,C45874
D_Small,"D1,D10,D11,D12,D13,D14,D15,D16,D17,D18,D19,D2,D20,D21,D22,D23,D24,D25,D26,D27,D28,D29,D3,D30,D31,D32,D33,D34,D35,D36,D37,D38,D39,D4,D40,D41,D42,D43,D44,D45,D46,D47,D48,D49,D5,D50,D51,D52,D53,D54,D55,D56,D57,D58,D59,D6,D60,D61,D62,D63,D64,D65,D66,D67,D68,D69,D7,D70,D8,D9",D_SOD-123-Pretty,C64898
Jumper,JP1,ResetJumper,
