Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0805_2012Metric,266.225,-94.75,135.0,bottom
C2,10uF,C_0805_2012Metric,274.15,-91.7,0.0,bottom
C3,.1uF,C_0805_2012Metric,284.675,-102.25,90.0,bottom
C4,.1uF,C_0805_2012Metric,274.15,-112.75,180.0,bottom
C5,.1uF,C_0805_2012Metric,263.625,-102.25,-90.0,bottom
C6,22pF,C_0805_2012Metric,279.7446,-90.7946,45.0,bottom
C7,22pF,C_0805_2012Metric,285.175,-96.175,-135.0,bottom
C8,.1uF,C_0805_2012Metric,267.625,-93.35,135.0,bottom
D1,D_Small,D_SOD-123-Pretty,-3.5,-68.025,90.0,bottom
D2,D_Small,D_SOD-123-Pretty,15.55,-68.025,90.0,bottom
D3,D_Small,D_SOD-123-Pretty,34.6,-68.025,90.0,bottom
D4,D_Small,D_SOD-123-Pretty,53.65,-68.025,90.0,bottom
D5,D_Small,D_SOD-123-Pretty,72.7,-68.025,90.0,bottom
D6,D_Small,D_SOD-123-Pretty,91.75,-68.025,90.0,bottom
D7,D_Small,D_SOD-123-Pretty,110.8,-68.025,90.0,bottom
D8,D_Small,D_SOD-123-Pretty,129.85,-68.025,90.0,bottom
D9,D_Small,D_SOD-123-Pretty,148.9,-68.025,90.0,bottom
D10,D_Small,D_SOD-123-Pretty,167.95,-68.025,90.0,bottom
D11,D_Small,D_SOD-123-Pretty,187.0,-68.025,90.0,bottom
D12,D_Small,D_SOD-123-Pretty,206.05,-68.0,90.0,bottom
D13,D_Small,D_SOD-123-Pretty,225.1,-68.0,90.0,bottom
D14,D_Small,D_SOD-123-Pretty,262.475,-67.975,90.0,bottom
D15,D_Small,D_SOD-123-Pretty,264.975,-67.975,90.0,bottom
D16,D_Small,D_SOD-123-Pretty,287.0,-67.975,90.0,bottom
D17,D_Small,D_SOD-123-Pretty,306.05,-67.975,90.0,bottom
D18,D_Small,D_SOD-123-Pretty,325.1,-67.975,90.0,bottom
D19,D_Small,D_SOD-123-Pretty,1.25,-87.075,90.0,bottom
D20,D_Small,D_SOD-123-Pretty,25.075,-87.075,90.0,bottom
D21,D_Small,D_SOD-123-Pretty,44.125,-87.075,90.0,bottom
D22,D_Small,D_SOD-123-Pretty,63.175,-87.075,90.0,bottom
D23,D_Small,D_SOD-123-Pretty,82.225,-87.075,90.0,bottom
D24,D_Small,D_SOD-123-Pretty,101.275,-87.075,90.0,bottom
D25,D_Small,D_SOD-123-Pretty,120.325,-87.075,90.0,bottom
D26,D_Small,D_SOD-123-Pretty,139.375,-87.075,90.0,bottom
D27,D_Small,D_SOD-123-Pretty,158.425,-87.075,90.0,bottom
D28,D_Small,D_SOD-123-Pretty,177.475,-87.075,90.0,bottom
D29,D_Small,D_SOD-123-Pretty,196.525,-87.075,90.0,bottom
D30,D_Small,D_SOD-123-Pretty,215.575,-87.05,90.0,bottom
D31,D_Small,D_SOD-123-Pretty,234.625,-87.05,90.0,bottom
D32,D_Small,D_SOD-123-Pretty,258.425,-87.05,90.0,bottom
D33,D_Small,D_SOD-123-Pretty,287.0,-87.025,90.0,bottom
D34,D_Small,D_SOD-123-Pretty,306.05,-87.025,90.0,bottom
D35,D_Small,D_SOD-123-Pretty,325.1,-87.025,90.0,bottom
D36,D_Small,D_SOD-123-Pretty,3.625,-106.125,90.0,bottom
D37,D_Small,D_SOD-123-Pretty,29.825,-106.125,90.0,bottom
D38,D_Small,D_SOD-123-Pretty,48.875,-106.125,90.0,bottom
D39,D_Small,D_SOD-123-Pretty,67.925,-106.125,90.0,bottom
D40,D_Small,D_SOD-123-Pretty,86.975,-106.125,90.0,bottom
D41,D_Small,D_SOD-123-Pretty,106.025,-106.125,90.0,bottom
D42,D_Small,D_SOD-123-Pretty,125.075,-106.125,90.0,bottom
D43,D_Small,D_SOD-123-Pretty,144.15,-106.125,90.0,bottom
